Date,Province,ICU_Patients,ICU_Total,ICU_Occupancy,Ventilators_Patients,Ventilators_Total,Ventilators_Occupancy
4/12/2021,Pradesh-1,1,110,0.9090909091,0,40,0
4/12/2021,Pradesh-2,0,48,0,0,21,0
4/12/2021,Bagmati,54,556,9.712230216,14,255,5.490196078
4/12/2021,Gandaki,0,236,0,0,69,0
4/12/2021,Lumbini,35,117,29.91452991,0,39,0
4/12/2021,Karnali,1,62,1.612903226,0,27,0
4/12/2021,Sudur-Paschim,1,29,3.448275862,1,25,4
4/13/2021,Pradesh-1,2,110,1.818181818,0,40,0
4/13/2021,Pradesh-2,0,48,0,0,21,0
4/13/2021,Bagmati,41,556,7.374100719,15,255,5.882352941
4/13/2021,Gandaki,0,236,0,0,69,0
4/13/2021,Lumbini,52,121,42.97520661,4,39,10.25641026
4/13/2021,Karnali,0,62,0,0,27,0
4/13/2021,Sudur-Paschim,2,29,6.896551724,1,25,4
4/14/2021,Pradesh-1,2,110,1.818181818,0,40,0
4/14/2021,Pradesh-2,0,48,0,0,21,0
4/14/2021,Bagmati,41,556,7.374100719,18,255,7.058823529
4/14/2021,Gandaki,0,8,0,0,1,0
4/14/2021,Lumbini,36,85,42.35294118,5,40,12.5
4/14/2021,Karnali,0,62,0,0,27,0
4/14/2021,Sudur-Paschim,1,29,3.448275862,2,25,8
4/15/2021,Pradesh-1,5,110,4.545454545,1,40,2.5
4/15/2021,Pradesh-2,4,48,8.333333333,0,21,0
4/15/2021,Bagmati,37,556,6.654676259,24,255,9.411764706
4/15/2021,Gandaki,0,8,0,0,1,0
4/15/2021,Lumbini,40,85,47.05882353,8,40,20
4/15/2021,Karnali,4,62,6.451612903,0,27,0
4/15/2021,Sudur-Paschim,1,29,3.448275862,2,25,8
4/16/2021,Pradesh-1,2,110,1.818181818,1,40,2.5
4/16/2021,Pradesh-2,2,48,4.166666667,0,21,0
4/16/2021,Bagmati,46,556,8.273381295,21,255,8.235294118
4/16/2021,Gandaki,8,239,3.347280335,1,68,1.470588235
